Entities,Counts,Appearance_Percent,Popularity,Normalized Score,Popularity_Growth
Ramzoid,4,7.69,30.76,0.003804474605025978,0.0038
Blake’s,4,7.69,30.76,0.003804474605025978,0.0038
Parlophone,4,7.69,30.76,0.003804474605025978,0.0038
Gareth Emery,4,7.69,30.76,0.003804474605025978,0.0038
Drunk,4,7.69,30.76,0.003804474605025978,0.0038
Friend Within,4,7.69,30.76,0.003804474605025978,0.0038
SQUID,4,7.69,30.76,0.003804474605025978,0.0038
Harvey’s,4,7.69,30.76,0.003804474605025978,0.0038
Thom Yorke,4,7.69,30.76,0.003804474605025978,0.0038
Marielle Labèque,4,7.69,30.76,0.003804474605025978,0.0038
Institute,4,7.69,30.76,0.003804474605025978,0.0038
Noname’s,4,7.69,30.76,0.003804474605025978,0.0038
Stream,4,7.69,30.76,0.003804474605025978,0.0038
Herbie Hancock,4,7.69,30.76,0.003804474605025978,0.0038
Coldplay,4,7.69,30.76,0.003804474605025978,0.0038
Prince’s,4,7.69,30.76,0.003804474605025978,0.0038
Dr. Dre,4,7.69,30.76,0.003804474605025978,0.0038
Jazmine Sullivan,4,7.69,30.76,0.003804474605025978,0.0038
DJ Pierre,4,7.69,30.76,0.003804474605025978,0.0038
Flaming Lips,4,7.69,30.76,0.003804474605025978,0.0038
Jon Hopkins,4,7.69,30.76,0.003804474605025978,0.0038
070 Shake,4,7.69,30.76,0.003804474605025978,0.0038
Aphex Twin,4,7.69,30.76,0.003804474605025978,0.0038
Sven Väth,8,15.38,123.04,0.01685081115470258,0.00372
Aly & Fila,4,11.54,46.16,0.0059816915844908645,0.00366
Open Mike Eagle,6,7.69,46.14,0.005978864029972078,0.00366
Kodak Black,4,11.54,46.16,0.0059816915844908645,0.00366
Slipknot,3,11.54,34.62,0.004350192627151592,0.00358
Todd Terry,3,11.54,34.62,0.004350192627151592,0.00358
Brandy,5,7.69,38.45,0.004891669317499029,0.00335
Greg,7,3.85,26.95,0.003265825469197328,0.00327
Kitty’s,7,3.85,26.95,0.003265825469197328,0.00327
Eastern,7,7.69,53.83000000000001,0.00706605874244513,0.00321
R.E.M.,11,3.85,42.35,0.005443042448662214,0.00312
B2B,11,19.23,211.53,0.02936132612306932,0.0031
ASOT,4,7.69,30.76,0.003804474605025978,0.00303
Bad Bunny,4,7.69,30.76,0.003804474605025978,0.00303
BROCKHAMPTON,4,7.69,30.76,0.003804474605025978,0.00303
Charlotte de Witte,4,7.69,30.76,0.003804474605025978,0.00303
Kraviz,4,7.69,30.76,0.003804474605025978,0.00303
Blood Orange’s,4,7.69,30.76,0.003804474605025978,0.00303
Justin Caruso,4,7.69,30.76,0.003804474605025978,0.00303
Baroness,4,7.69,30.76,0.003804474605025978,0.00303
Armin,5,11.54,57.7,0.007613190541830134,0.00298
Crazy P,3,7.69,23.07,0.002717279892552929,0.00272
Tucker,6,3.85,23.1,0.002721521224331107,0.00272
Annie Mac,3,7.69,23.07,0.002717279892552929,0.00272
Katia,3,7.69,23.07,0.002717279892552929,0.00272
Better,3,7.69,23.07,0.002717279892552929,0.00272
Floodlights,3,7.69,23.07,0.002717279892552929,0.00272
Bawrut,3,7.69,23.07,0.002717279892552929,0.00272
Kill Paris,3,7.69,23.07,0.002717279892552929,0.00272
Meek Mill,3,7.69,23.07,0.002717279892552929,0.00272
Kelly Rowland,3,7.69,23.07,0.002717279892552929,0.00272
Maya Jane Coles,3,7.69,23.07,0.002717279892552929,0.00272
DRAM,3,7.69,23.07,0.002717279892552929,0.00272
Chance’s,3,7.69,23.07,0.002717279892552929,0.00272
Nora En Pure,3,7.69,23.07,0.002717279892552929,0.00272
Kevin Abstract’s,3,7.69,23.07,0.002717279892552929,0.00272
Tom Verlaine,3,7.69,23.07,0.002717279892552929,0.00272
Moran’s,3,7.69,23.07,0.002717279892552929,0.00272
Kaytranada,3,7.69,23.07,0.002717279892552929,0.00272
Kill The Noise,3,7.69,23.07,0.002717279892552929,0.00272
Andy King,3,7.69,23.07,0.002717279892552929,0.00272
Satin Jackets,3,7.69,23.07,0.002717279892552929,0.00272
Ride,3,7.69,23.07,0.002717279892552929,0.00272
Stoneface & Terminal,6,3.85,23.1,0.002721521224331107,0.00272
Raymond Pettibon,3,7.69,23.07,0.002717279892552929,0.00272
Pusha T,3,7.69,23.07,0.002717279892552929,0.00272
Someone,3,7.69,23.07,0.002717279892552929,0.00272
Kieran Hebden,3,7.69,23.07,0.002717279892552929,0.00272
King Princess,3,7.69,23.07,0.002717279892552929,0.00272
Beirut,3,7.69,23.07,0.002717279892552929,0.00272
Woodstock Brand,3,7.69,23.07,0.002717279892552929,0.00272
Riff Raff,3,7.69,23.07,0.002717279892552929,0.00272
Splurge,3,7.69,23.07,0.002717279892552929,0.00272
Seinabo Sey,3,7.69,23.07,0.002717279892552929,0.00272
BLACKPINK’s,3,7.69,23.07,0.002717279892552929,0.00272
